supplier_reliability,demand_level,transport_delay,weather_impact,inventory_level,risk_score,risk_level
61.78,33.53,15.4,0.98,66.95,49.71,2
84.94,45.17,4.28,3.77,77.57,38.34,1
76.66,44.22,7.01,6.47,28.58,60.68,2
92.72,60.5,3.59,1.69,73.05,23.13,0
71.97,70.84,1.69,1.22,57.63,39.84,1
82.83,27.04,9.56,3.7,60.07,34.78,0
65.81,86.78,4.54,0.05,71.77,46.29,1
36.25,82.11,4.33,0.28,94.92,44.2,1
70.05,32.49,5.38,3.74,66.07,47.24,1
60.54,51.46,9.69,2.63,32.87,58.34,2
64.91,84.22,6.58,1.08,56.26,49.04,2
39.02,74.66,1.19,4.39,77.04,60.31,2
84.14,43.27,3.14,0.87,77.7,22.56,0
94.39,66.29,19.64,2.01,73.32,62.54,2
97.73,100.0,4.04,2.01,49.8,49.15,2
74.27,52.1,13.92,0.41,32.64,54.29,2
64.15,37.35,8.39,0.67,71.79,33.32,0
89.03,53.45,5.48,4.95,35.72,56.33,2
71.19,54.93,2.15,0.41,73.86,34.34,0
81.67,39.51,1.81,0.38,73.87,20.42,0
67.96,58.83,5.16,1.31,50.65,46.41,1
58.4,24.91,2.83,0.19,57.75,36.92,0
72.59,36.69,8.02,4.5,63.97,48.44,2
83.28,65.16,7.15,0.21,47.7,44.2,1
72.36,14.9,1.87,1.92,32.37,38.3,1
80.78,68.06,6.07,0.83,59.22,49.8,2
83.09,9.76,3.41,3.26,61.3,27.93,0
75.25,15.37,1.95,1.78,87.22,14.52,0
85.11,40.02,2.66,0.98,44.36,25.54,0
80.51,55.74,11.29,8.25,81.37,57.62,2
72.22,76.51,2.23,0.14,37.06,39.06,1
93.08,51.15,1.69,1.72,33.11,26.68,0
44.38,45.07,2.17,9.13,53.98,72.46,2
60.2,61.59,1.21,2.35,41.18,49.42,2
82.08,32.58,3.93,2.69,32.83,36.97,0
94.71,52.79,0.8,0.07,98.89,16.2,0
67.5,26.01,8.5,0.04,50.97,29.99,0
74.17,51.65,1.28,0.07,100.0,28.55,0
55.58,47.4,4.56,9.59,40.11,58.21,2
84.05,33.91,0.67,7.78,25.83,51.09,2
84.31,53.3,19.19,0.81,85.83,42.49,1
82.64,53.17,3.03,0.69,45.47,33.6,0
76.56,73.51,8.63,0.32,62.78,52.81,2
87.1,17.89,7.32,0.8,32.89,26.57,0
75.17,48.48,6.25,0.92,59.24,38.67,1
75.46,34.79,8.78,2.76,32.57,52.76,2
76.06,67.4,0.53,4.02,58.52,45.5,1
76.75,65.08,5.67,2.75,50.52,48.87,2
62.07,60.16,1.55,2.08,64.61,43.49,1
58.78,35.92,7.71,2.9,72.51,42.61,1
47.3,67.71,15.72,2.68,64.82,79.72,2
55.22,19.4,11.59,1.29,69.02,37.04,0
73.73,15.29,0.61,0.82,57.82,28.91,0
76.82,24.48,2.31,0.66,51.29,28.89,0
45.08,49.33,2.27,2.27,69.4,47.1,1
56.21,63.5,0.65,6.4,57.77,58.42,2
61.74,0.0,0.52,1.74,58.53,27.67,0
62.15,76.45,2.43,4.87,67.95,48.65,2
53.32,52.62,24.19,0.03,39.34,74.21,2
60.57,18.64,4.21,3.16,88.59,25.74,0
65.46,52.02,4.86,3.84,55.01,47.77,2
85.12,71.85,3.18,1.99,62.48,41.3,1
50.06,61.99,5.43,5.44,59.11,63.43,2
75.96,71.98,15.69,1.78,73.05,60.55,2
32.83,22.68,4.44,0.55,66.78,31.73,0
68.7,41.72,0.34,0.49,59.0,26.93,0
90.1,31.51,3.4,1.62,88.98,18.89,0
31.74,84.35,24.63,4.74,0.0,103.82,2
67.77,62.79,2.45,0.15,84.85,28.27,0
85.89,100.0,4.51,1.85,78.4,44.95,1
85.58,40.65,0.56,2.94,23.28,45.09,1
45.79,35.51,0.76,0.25,78.59,26.41,0
74.55,47.14,10.38,0.25,81.17,33.74,0
69.92,77.57,1.79,0.91,71.24,36.13,0
50.38,42.68,1.82,0.64,28.82,45.81,1
55.63,52.49,2.45,0.44,73.65,42.6,1
66.64,51.93,16.98,0.44,80.14,53.1,2
77.71,50.79,0.44,0.28,48.56,23.81,0
72.74,36.95,8.54,1.89,68.82,35.01,0
51.3,47.25,2.09,2.33,52.94,45.74,1
33.03,46.4,9.47,2.43,77.71,61.39,2
73.2,49.85,23.99,1.52,53.73,78.62,2
76.24,68.87,2.14,6.11,48.4,47.25,1
88.79,85.21,0.69,4.25,59.21,45.19,1
39.5,33.19,0.78,6.32,33.17,51.64,2
55.7,42.16,7.11,0.98,57.23,41.02,1
84.01,33.5,0.78,4.2,67.24,26.49,0
84.69,53.74,1.51,2.88,77.4,30.34,0
93.57,39.23,1.14,0.83,64.98,18.12,0
41.34,54.8,2.2,0.23,31.35,61.28,2
80.38,72.07,0.39,2.3,87.05,30.51,0
77.19,0.0,9.72,0.29,88.72,29.34,0
92.2,59.84,9.84,0.7,62.25,38.04,1
45.94,40.8,2.66,1.39,44.96,56.06,2
67.51,59.21,4.73,2.28,49.37,49.17,2
80.79,32.07,5.14,5.21,55.93,47.52,2
79.69,73.93,6.92,1.8,65.57,43.38,1
66.34,68.27,3.68,2.23,53.91,52.35,2
87.05,61.37,3.57,0.74,42.83,39.55,1
41.59,65.86,4.99,2.32,80.46,49.3,2
42.89,35.09,6.07,1.15,65.15,39.46,1
75.86,37.61,2.13,3.89,38.95,40.58,1
71.33,65.05,2.01,1.0,65.83,35.58,0
83.18,34.65,1.57,1.26,63.24,30.92,0
74.07,78.91,3.98,1.13,45.64,46.02,1
60.9,43.53,2.23,3.33,83.9,27.9,0
90.68,60.04,3.89,6.15,62.7,49.69,2
70.72,91.98,2.6,0.79,55.67,53.0,2
66.18,35.88,9.06,1.29,58.33,35.93,0
96.08,51.38,0.38,2.45,68.88,35.96,0
49.44,71.08,4.25,4.51,58.56,65.87,2
69.34,69.03,4.29,1.36,58.39,41.45,1
80.01,43.44,2.42,0.23,81.32,19.22,0
68.23,39.67,2.73,0.92,31.63,44.78,1
59.22,45.34,8.05,1.6,34.97,45.8,1
82.56,78.96,1.65,1.08,75.54,31.69,0
62.98,44.42,10.26,0.41,100.0,32.05,0
86.36,51.56,11.33,0.08,77.53,38.69,1
48.86,41.46,5.26,2.33,97.28,47.28,1
77.16,64.11,7.41,9.85,51.31,70.23,2
61.75,53.11,4.75,5.03,47.26,60.09,2
78.92,29.93,3.72,2.3,69.13,29.56,0
87.0,30.62,17.01,3.68,79.07,50.95,2
67.69,10.03,1.66,0.59,33.77,23.28,0
72.95,33.37,0.84,1.95,55.74,30.95,0
36.97,65.88,1.69,0.13,59.46,42.61,1
46.65,76.48,4.77,2.46,46.42,58.33,2
79.26,63.71,1.02,7.0,48.76,50.3,2
73.02,61.09,11.97,3.94,76.86,54.24,2
91.65,47.47,2.65,1.53,69.39,38.82,1
81.57,65.5,9.48,3.11,75.97,57.55,2
61.47,55.73,1.43,5.76,66.74,55.78,2
65.9,86.09,1.88,0.49,42.53,56.26,2
71.46,48.03,0.31,3.15,68.46,42.31,1
64.05,76.86,1.49,0.63,40.96,45.51,1
51.79,67.48,3.37,4.19,53.76,55.49,2
78.5,64.71,14.61,0.21,39.28,58.38,2
83.04,9.77,2.46,0.39,47.78,21.6,0
93.27,68.58,5.1,2.55,61.81,35.64,0
75.91,47.45,2.79,0.38,50.85,35.55,0
86.91,41.12,0.24,0.34,42.34,19.13,0
67.7,20.34,3.5,1.62,82.76,28.22,0
67.43,49.89,0.34,3.6,57.61,35.27,0
91.18,50.67,10.76,0.63,49.44,42.72,1
85.34,23.94,6.99,3.68,38.35,43.36,1
82.31,20.53,2.38,3.3,22.56,35.98,0
40.07,59.73,5.11,1.73,55.56,45.59,1
74.61,67.43,0.59,2.08,32.44,38.14,1
89.14,53.81,6.06,0.08,74.24,33.45,0
84.23,73.02,8.65,0.91,60.59,43.34,1
80.63,48.27,8.62,0.61,91.17,36.91,0
88.61,48.91,1.67,0.33,64.46,26.12,0
54.44,31.66,1.53,0.99,45.47,36.27,0
72.06,18.8,3.68,0.88,22.4,38.06,1
88.75,87.09,17.17,2.61,76.13,58.84,2
89.16,72.63,12.66,1.82,34.02,60.16,2
34.93,22.15,2.23,4.89,51.84,48.15,2
31.89,53.12,7.57,0.31,93.48,59.83,2
60.3,48.0,12.71,0.12,72.22,43.17,1
73.94,44.52,1.51,1.53,67.8,29.7,0
65.19,41.82,8.87,0.0,78.89,36.84,0
66.25,57.63,1.56,3.1,78.14,32.23,0
64.61,66.36,2.1,1.41,91.62,39.19,1
74.78,58.05,1.11,1.34,47.96,35.35,0
34.07,47.59,3.54,0.9,52.47,36.84,0
85.53,46.86,9.27,0.94,41.55,47.47,2
68.77,68.74,3.75,1.13,59.35,39.96,1
81.44,59.27,0.66,0.03,57.36,29.46,0
45.23,51.45,1.45,0.17,24.9,50.31,2
68.86,49.28,4.14,1.41,46.92,40.18,1
90.57,56.91,4.38,0.33,88.78,24.81,0
66.77,40.63,4.3,3.02,64.88,53.47,2
83.59,66.43,0.4,0.64,74.31,18.1,0
75.3,28.48,7.01,0.21,57.59,27.61,0
55.4,41.77,12.01,0.54,22.26,53.26,2
97.92,62.22,3.57,0.88,57.43,41.21,1
79.61,27.34,6.34,0.07,80.83,23.26,0
94.32,18.54,12.27,0.31,36.29,39.45,1
55.34,51.26,5.14,0.78,74.94,38.53,1
51.08,16.07,5.61,0.74,25.96,46.79,1
83.81,24.02,6.39,3.22,60.4,36.36,0
82.37,65.13,1.51,3.71,70.89,40.19,1
71.59,45.9,4.37,0.43,53.76,43.31,1
86.14,75.71,9.23,0.26,100.0,39.8,1
64.47,25.9,1.76,2.01,50.14,31.09,0
50.63,48.12,11.37,3.27,48.43,63.94,2
50.81,57.99,4.84,6.63,64.09,72.38,2
80.34,26.59,2.75,0.01,44.9,30.55,0
50.87,70.64,4.88,1.07,31.17,56.91,2
92.0,60.21,2.57,2.65,38.05,33.47,0
81.36,17.81,9.1,3.53,75.16,41.11,1
85.96,49.25,3.29,0.13,53.9,35.36,0
92.23,57.72,11.57,2.28,94.04,42.58,1
74.14,38.2,3.56,0.68,51.18,34.69,0
61.39,20.4,5.4,0.16,74.21,44.49,1
50.21,55.57,30.0,1.34,70.22,87.42,2
76.86,94.22,0.79,0.34,50.88,48.57,2
55.97,42.26,6.67,2.67,42.42,52.31,2
52.7,81.38,0.75,2.7,25.36,56.69,2
54.43,34.95,9.13,3.69,71.06,54.28,2
80.02,54.31,4.54,0.95,83.97,31.29,0
67.56,65.43,13.92,0.03,28.2,61.14,2
66.97,49.83,10.05,0.6,52.59,50.74,2
52.7,44.05,0.39,1.26,46.66,37.04,0
60.58,64.52,0.74,2.37,71.03,41.88,1
83.1,87.83,4.6,0.96,53.43,46.04,1
43.76,56.01,3.65,1.54,86.46,47.74,2
79.65,39.68,0.92,1.49,52.31,27.6,0
89.16,46.2,0.69,0.36,35.27,19.69,0
78.96,100.0,4.15,1.95,50.62,50.74,2
57.41,52.7,0.25,1.16,52.83,40.64,1
77.34,38.11,10.35,3.3,70.52,50.81,2
58.04,27.1,8.23,2.35,52.53,43.6,1
65.84,13.48,7.69,0.24,68.8,34.7,0
73.56,57.27,0.08,1.34,44.19,42.56,1
74.01,63.09,0.24,2.42,54.11,42.93,1
80.53,42.07,3.99,0.18,44.3,29.99,0
61.84,49.7,25.95,3.15,43.07,78.63,2
57.37,26.59,2.1,0.5,85.5,28.91,0
89.39,52.66,2.11,1.4,45.7,42.0,1
77.25,59.63,0.72,5.65,53.05,46.39,1
85.74,39.3,5.61,1.69,80.89,29.75,0
86.28,83.81,5.2,1.1,75.0,33.78,0
45.79,33.26,0.53,0.01,92.82,25.03,0
85.99,55.67,3.15,0.29,69.66,26.05,0
71.03,66.97,5.5,1.73,47.99,48.54,2
91.26,48.45,3.4,1.36,100.0,15.68,0
61.4,46.23,5.61,0.9,71.64,37.84,1
99.22,21.42,8.47,5.13,56.91,34.7,0
72.23,77.15,5.79,0.81,61.15,50.79,2
63.7,46.6,4.79,1.54,63.59,36.56,0
82.14,60.75,9.61,1.68,55.26,45.24,1
57.86,63.45,11.54,1.5,32.48,64.48,2
49.02,37.43,2.46,1.3,92.53,30.82,0
87.16,46.05,0.95,0.82,59.56,38.73,1
80.45,76.69,8.51,4.79,63.67,61.7,2
58.92,27.66,1.2,1.2,100.0,24.12,0
92.3,92.56,13.22,1.5,46.33,61.61,2
82.21,35.1,0.12,2.14,73.11,13.23,0
47.93,26.41,12.71,0.14,44.15,58.96,2
85.5,52.65,4.45,3.04,66.42,41.06,1
81.37,94.17,7.45,1.44,64.03,50.73,2
89.75,11.78,2.54,2.14,75.81,22.85,0
68.58,47.18,23.97,2.96,84.16,71.17,2
66.5,59.53,1.29,4.14,48.41,45.47,1
74.48,50.67,1.53,1.0,88.33,29.35,0
60.71,57.64,0.26,3.34,89.75,42.23,1
71.29,35.64,14.11,0.6,55.0,51.46,2
68.62,38.01,3.04,2.16,59.87,35.64,0
72.49,47.03,5.62,0.22,50.11,40.44,1
77.32,27.4,5.81,0.04,53.89,38.61,1
59.01,49.11,10.38,0.2,35.93,57.38,2
95.1,42.23,5.47,0.77,75.55,21.23,0
88.37,40.6,4.13,0.06,18.99,39.12,1
75.66,56.41,6.19,1.99,46.06,48.73,2
44.52,13.59,6.95,0.76,59.08,46.37,1
85.98,45.42,1.03,2.67,86.0,26.73,0
59.79,96.35,0.58,0.09,49.1,45.59,1
96.31,28.28,0.39,0.49,68.56,9.43,0
69.28,75.71,2.34,1.05,58.38,39.13,1
58.26,51.09,3.45,0.96,78.9,43.14,1
65.9,37.94,4.78,0.28,67.51,35.08,0
69.58,23.59,15.85,10.0,76.6,67.99,2
70.97,52.79,2.01,0.67,48.99,43.27,1
57.87,79.07,7.15,2.55,39.72,67.02,2
78.03,42.22,3.79,0.5,67.34,26.92,0
78.41,48.38,1.24,4.21,50.25,46.91,1
46.77,70.21,4.78,0.98,60.61,42.72,1
83.29,56.82,17.08,4.62,66.35,65.43,2
65.73,18.55,0.66,0.84,84.84,22.75,0
